0.86079E-01 0.26552E-03 0.00000E+01 475090 0 0 17364 0.20170E+06 0.00000E+01 0.86079E-01 0.00000E+01 0.00000E+01 0
1 0.086928 0.0030087 2.4474 7.9764 0.086928
2 0.087999 0.0021669 2.4624 10.965 0.087999
3 0.085671 0.0011181 1.8457 9.2529 0.085671
4 0.0834 0.0014765 1.7704 3.1403 0.0834
5 0.086835 0.0015094 2.4582 21.775 0.086835
6 0.085601 0.00069529 1.6245 4.3268 0.085601
7 0.084963 0.0015523 1.8271 3.4881 0.084963
8 0.086485 0.0011355 1.8568 8.3146 0.086485
9 0.085219 0.00071161 1.6701 5.0093 0.085219
10 0.088721 0.0017181 1.9366 4.255 0.088721
11 0.084845 0.0010652 1.7755 6.2021 0.084845
12 0.08607 0.00070712 1.6431 5.5279 0.08607
13 0.090461 0.0030648 2.3957 3.7179 0.090461
14 0.085215 0.0016306 1.9135 7.9522 0.085215
15 0.0869 0.0010479 1.7053 4.8854 0.0869
16 0.083732 0.0029594 2.4992 5.3794 0.083732
17 0.086652 0.0019379 2.2364 12.004 0.086652
18 0.087071 0.0009976 1.6203 3.0455 0.087071
19 0.087132 0.0017882 2.0523 7.6144 0.087132
20 0.088242 0.0012903 2.0679 9.2855 0.088242
21 0.086485 0.00069654 1.6108 5.9016 0.086485
22 0.082704 0.0029979 2.5631 5.9322 0.082704
23 0.087826 0.0016616 1.8919 5.8075 0.087826
24 0.086603 0.0010615 1.7334 4.8018 0.086603
25 0.087077 0.0029867 2.4253 3.3697 0.087077
26 0.085695 0.0015832 1.8474 4.9801 0.085695
27 0.083545 0.00098526 1.6678 5.1408 0.083545
