#Data tag : 19v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
274339:4980,06/02/16 20:15:40,90,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.011255749,0.010806227
274344:4980,06/02/16 21:29:06,627,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.072349026,0.069946655
274345:4980,06/03/16 01:37:46,170,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.018291681,0.017733285
274382:4984,06/03/16 15:37:56,51,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.007980394,0.007428113
274387:4985,06/03/16 19:10:09,352,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.061757161,0.058230925
274388:4985,06/03/16 21:32:38,1820,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.263657760,0.254143128
274420:4988,06/04/16 20:17:21,175,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.029511408,0.028085763
274421:4988,06/04/16 21:28:04,342,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.056165832,0.053901679
274422:4988,06/04/16 23:46:51,2207,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.285808233,0.277137366
274440:4990,06/05/16 19:32:38,402,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.066257852,0.063546059
274441:4990,06/05/16 22:13:06,431,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.066088987,0.063938476
274442:4990,06/06/16 01:05:09,752,HLT_QuadJet45_TripleBTagCSV_p087_v1,0.102312568,0.098981812
274954:5005,06/11/16 09:40:51,20,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.001158411,0.000964180
274955:5005,06/11/16 09:52:07,91,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.005000988,0.004770955
274968:5013,06/11/16 22:51:22,1192,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.202639807,0.193775923
274969:5013,06/12/16 06:41:54,1003,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.135797328,0.126581146
274970:5013,06/12/16 13:12:54,47,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.005693241,0.004298672
274971:5013,06/12/16 13:33:30,905,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.100725655,0.097616536
274998:5017,06/13/16 04:19:54,719,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.119553606,0.113023752
274999:5017,06/13/16 09:04:45,1241,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.168573293,0.162759023
275000:5017,06/13/16 17:15:35,136,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.016331565,0.015808374
275001:5017,06/13/16 18:12:42,2057,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.202940250,0.197660421
275059:5020,06/14/16 16:49:52,37,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.006719889,0.006094489
275066:5020,06/14/16 17:45:35,96,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.019255844,0.018301981
275067:5020,06/14/16 18:28:40,392,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.073740091,0.071046000
275068:5020,06/14/16 21:06:59,915,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.148129204,0.142426185
275073:5020,06/15/16 03:33:57,517,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.070659634,0.068166580
275074:5020,06/15/16 06:58:09,646,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.078401734,0.075957763
275124:5021,06/15/16 17:50:26,325,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.058742280,0.056104012
275125:5021,06/15/16 20:00:21,989,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.155960933,0.149289555
275282:5024,06/17/16 00:06:15,90,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.015571032,0.014753424
275283:5024,06/17/16 00:43:11,132,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.023329905,0.022215008
275284:5024,06/17/16 01:36:53,74,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.012802832,0.012326314
275290:5024,06/17/16 03:58:56,48,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.007625354,0.002653992
275291:5024,06/17/16 04:28:35,347,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.052931322,0.051239143
275292:5024,06/17/16 06:46:47,121,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.016297461,0.015533065
275293:5024,06/17/16 07:37:27,200,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.025785580,0.024911715
275309:5026,06/17/16 13:48:15,563,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.085067987,0.081968832
275310:5026,06/17/16 17:32:53,1929,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.228952183,0.221971321
275311:5026,06/18/16 06:07:07,1253,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.109758789,0.107143490
275319:5027,06/18/16 18:56:15,142,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.025719253,0.024399049
275337:5027,06/18/16 21:26:04,427,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.071143873,0.068318280
275338:5027,06/19/16 00:15:37,520,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.077545789,0.075039556
275344:5028,06/19/16 08:18:25,281,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.052274033,0.050206595
275345:5028,06/19/16 10:12:11,353,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.062030895,0.059317081
275370:5029,06/19/16 16:19:29,285,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.054224575,0.051557454
275371:5029,06/19/16 18:16:49,564,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.098268244,0.094041600
275375:5030,06/20/16 02:17:12,1323,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.213406615,0.205471795
275376:5030,06/20/16 10:55:04,3095,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.331859491,0.323163897
275657:5038,06/24/16 03:33:42,105,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.020167306,0.018470904
275658:5038,06/24/16 04:17:17,337,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.062579841,0.059231597
275659:5038,06/24/16 06:31:38,17,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.003283208,0.003171270
275761:5043,06/25/16 04:25:26,9,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.001902426,0.001667386
275767:5043,06/25/16 05:32:46,4,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.000808111,0.000714022
275772:5043,06/25/16 06:29:27,56,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.010607873,0.010203603
275773:5043,06/25/16 06:53:33,7,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.001323620,0.001181465
275774:5043,06/25/16 07:01:55,312,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.057592111,0.055058509
275776:5043,06/25/16 09:11:23,140,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.024494057,0.023256087
275777:5043,06/25/16 10:12:24,300,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.049898141,0.047914975
275778:5043,06/25/16 12:13:15,305,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.047436821,0.045726822
275782:5043,06/25/16 14:44:49,761,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.103404399,0.099533422
275832:5045,06/26/16 17:18:04,367,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.077465190,0.072628756
275833:5045,06/26/16 19:45:07,248,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.048058353,0.046318904
275834:5045,06/26/16 21:26:02,297,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.053967000,0.051935910
275835:5045,06/26/16 23:24:23,13,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.002270925,0.002069231
275836:5045,06/26/16 23:32:00,1277,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.193464141,0.184634626
275837:5045,06/27/16 07:59:11,715,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.086035796,0.083442436
275847:5045,06/27/16 13:59:22,2263,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.203811336,0.198947362
275886:5048,06/28/16 08:40:35,37,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.008051867,0.007581469
275890:5048,06/28/16 09:27:45,1393,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.244957584,0.235220050
275911:5052,06/29/16 01:49:35,377,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.076433867,0.073191362
275912:5052,06/29/16 04:21:23,289,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.053998992,0.051914263
275913:5052,06/29/16 06:19:55,475,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.080635038,0.076634940
275918:5052,06/29/16 09:29:20,332,HLT_QuadJet45_TripleBTagCSV_p087_v2,0.051478884,0.049710246
